<001> 蝉がうるさい。

<002> こんな暑いのに。

<003> 奴らはいつだって本気だ。

<004> 太一

<005> 「しかし」

<006> どうするかな、これから。

<007> 屋上が炎天下となると、涼める場所はさほどない。

<008> 手近な教室をのぞいてみると、案の定授業中だった。

<009> 一年Ｅ組。

<010> まちこ先生が授業をしている。

<011> 佐藤真智子。

<012> 身長１７３センチの長身でグラマラスなダイナマイト・ボディの持ち主でしかも美形でパリッとしていてブランドものの縁なし眼鏡が似合っていて濃紺の光沢を持ったロングヘアを――

<013> しゃれっ気たっぷりにアップにしているばかりか艶めかしくつやめく肉厚の唇が魅惑的な、俺的最強生命体の一人である。

<014> 教職二年目。

<015> 俺たちと同じ年度で教師になった。

<016> 今ではすっかり女教師が板についている。

<017> だがまちこ先生は罪深い。

<018> 罪っ子である。

<019> その罪の多くは、シャツを内側から突き上げるふくらみに含まれていると言ってもいいだろう。

<020> ボディ自体はすらりと細長いのに胸の量感はたっぷりで今にも破れるんじゃないか破れた瞬間のπモーションは何万ポリゴンで左右別々に違う動きを見せてさぞかし壮観であるに違いない――

<021> という思考にどっぷり浸かってしまうほどに蠱惑的な彼女の授業を、受けている時の俺は多角的にかなりダメになる。

<022> 臀部はと言えばこれまた凶悪で、凶器となっている。

<023> キレた１４歳の少年が手にするナイフと同じほどに危険だ。

<024> タイトスカートの内側という男子垂涎の空間に押し込められ、

<025> 『こんな狭い場所じゃあちきの美肉はリラックスできないわよ！』

<026> と言わんばかりに張りつめるまろやかヒップ。

<027> 尻の割れ目に横筋が橋を張るほどにぱっつんぱっつんなスカートの中央に、カッターで縦の切れ目をスーッと入れたいと思ったことは五度や十度じゃない。

<028> 危険な女性だ。

<029> 悪の校長と番長らによって、妹（同校在籍の女生徒……明るく成績優秀でスポーツ万能で男女わけへだてなく人気があったりする）の弱みをネタに脅迫され性悦の極みに堕ちていきかねない。

<030> そんな仏国書院的な危機から、俺はいつでも彼女を守りたいのである。

<031> 一年生の時、副担任になったまちこ先生に飽くなきセクハラを繰り返し、ついには授業中に泣かせてしまったうえ三日間無断欠勤をさせてしまったことが、未だに悔やまれる。

<032> ……そして俺は停学を食らって、先輩に「停学君」とからかわれるようになった。

<033> ま、それで親しくなったからいいんだけど。

<034> さておき。

<035> 以来、まちこ先生と俺との接点は消滅した。

<036> 二年を待たずして副担が変わり、受け持ち授業からもいなくなった。

<037> さらば青い思い出。

<038> セクハラ、ほどほどにしておけばよかったな。

<039> でもどうせ嫌われるならもっと揉んでおけばよかった、と考えてる時点で俺はもう終わってるんだろう人として。

<040> 太一

<041> 「ふー」

<042> とにかく、このまま廊下をウロウロしてたら誰かに見つかる。

<043> 食券を買ってから部室に行こう。

<044> 完璧計画爆誕。

<045> Ａ定食は三時間目には売り切れるから、確実に食べたい時は一時間目の終わりと同時に食堂に赴くことになる。

<046> それでも多少、行列はできる。

<047> 二時間目に遅刻してしまうこともあるわけだ。

<048> こういうことが多発すると、たまに思い出したように『食券事前買い禁止令』が公布されたりする。

<049> 数をもっと多く用意してくれればいいのに。

<050> 誰もがそう思う。

<051> だが無駄をはぶくためか、定食は数量限定が鉄の掟。

<052> だからこんな機会を逃す手はない。

<053> さすがに一限目の途中なら行列もないしな。

<054> がらすきだった。

<055> 太一

<056> 「おばちゃん、エース定食」

<057> 無事に食券を買えた。

<058> らくちんらくちん。

<059> 部室に入ると、パイプ椅子に座って雑誌を読んでいた男が顔をあげた。

<060> 太一

<061> 「いやいやいや、友貴先生じゃないですか」

<062> 太一

<063> 「こんなところで奇遇ですな。先生もアレですか？　こっちの方もいける口で？」

<064> 小指を立てる。

